task,step,operation,reward,cumulative_reward
easy,1,view_logs,0.12,0.12
easy,2,inspect_config,0.12,0.24
easy,3,set_hypothesis,0.22,0.46
easy,4,modify_config,0.35,0.81
easy,5,rerun_pipeline,0.18,0.99
easy,6,verify_fix,0.16,1.15
easy,7,finalize,0.36,1.51
medium,1,view_logs,0.12,0.12
medium,2,inspect_config,0.12,0.24
medium,3,inspect_dockerfile,0.12,0.36
medium,4,set_hypothesis,0.22,0.58
medium,5,add_dependency,0.25,0.83
medium,6,rerun_pipeline,0.18,1.01
medium,7,set_hypothesis,0.22,1.23
medium,8,modify_config,0.35,1.58
medium,9,rerun_pipeline,0.18,1.76
medium,10,verify_fix,0.16,1.92
medium,11,finalize,0.36,2.28
security,1,view_logs,0.12,0.12
security,2,inspect_permissions,0.12,0.24
security,3,set_hypothesis,0.22,0.46
security,4,modify_config,0.35,0.81
security,5,rerun_pipeline,0.18,0.99
security,6,view_logs,0.12,1.11
security,7,inspect_dockerfile,0.12,1.23
security,8,set_hypothesis,0.22,1.45
security,9,modify_config,0.35,1.80
security,10,rerun_pipeline,0.18,1.98
security,11,verify_fix,0.16,2.14
security,12,finalize,0.35,2.49
hard,1,inspect_permissions,0.12,0.12
hard,2,set_hypothesis,0.22,0.34
hard,3,modify_config,0.35,0.69
hard,4,rerun_pipeline,0.18,0.87
hard,5,inspect_config,0.12,0.99
hard,6,set_hypothesis,0.22,1.21
hard,7,modify_config,0.20,1.41
hard,8,rerun_pipeline,0.18,1.59
hard,9,view_logs,0.12,1.71
hard,10,set_hypothesis,0.22,1.93
hard,11,modify_config,0.35,2.28
hard,12,rerun_pipeline,0.18,2.46
hard,13,verify_fix,0.16,2.62
hard,14,finalize,0.33,2.95
